left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
939700,1952000,939800,1952100,100,1.7384,35.0794,9.44056836,939750,1952050,126.817767,37.56584429
965700,1945600,965800,1945700,100,59.6629,14.4003,13.10915194,965750,1945650,127.1124648,37.50949273
939700,1950900,939800,1951000,100,15.9184,30.0171,9.44056836,939750,1950950,126.8178574,37.55593006
965700,1945900,965800,1946000,100,82.9588,6.0837,13.10915194,965750,1945950,127.1124508,37.51219677
939700,1951000,939800,1951100,100,14.2714,30.6051,9.44056836,939750,1951050,126.8178492,37.55683135
965700,1944400,965800,1944500,100,2.8196,34.6934,13.10915194,965750,1944450,127.1125207,37.49867659
939700,1951100,939800,1951200,100,4.8829,33.9568,9.44056836,939750,1951150,126.817841,37.55773265
965700,1944500,965800,1944600,100,55.3972,15.9232,13.10915194,965750,1944550,127.112516,37.49957794
939700,1951200,939800,1951300,100,33.8256,23.6243,9.44056836,939750,1951250,126.8178328,37.55863394
965700,1944700,965800,1944800,100,78.5806,7.6467,13.10915194,965750,1944750,127.1125067,37.50138063
965700,1944800,965800,1944900,100,84.484,5.5392,13.10915194,965750,1944850,127.112502,37.50228197
939400,1951200,939500,1951300,100,68.6002,11.2097,9.44056836,939450,1951250,126.8144363,37.55861427
939400,1951300,939500,1951400,100,2.6952,34.7378,9.44056836,939450,1951350,126.8144281,37.55951556
965700,1943600,965800,1943700,100,2.9728,34.6387,13.10915194,965750,1943650,127.1125579,37.49146582
939400,1951500,939500,1951600,100,11.8792,31.4591,9.44056836,939450,1951550,126.8144116,37.56131815
939400,1950700,939500,1950800,100,18.0243,29.2653,9.44056836,939450,1950750,126.8144776,37.5541078
939400,1950800,939500,1950900,100,93.1024,2.4624,9.44056836,939450,1950850,126.8144694,37.55500909
965700,1947500,965800,1947600,100,40.7398,21.1559,13.10915194,965750,1947550,127.1123762,37.52661826
939400,1950900,939500,1951000,100,86.5366,4.8064,9.44056836,939450,1950950,126.8144611,37.55591039
965700,1947600,965800,1947700,100,4.8831,33.9567,13.10915194,965750,1947650,127.1123715,37.5275196
939400,1951100,939500,1951200,100,60.1882,14.2128,9.44056836,939450,1951150,126.8144446,37.55771297
965700,1947800,965800,1947900,100,3.6052,34.4129,13.10915194,965750,1947850,127.1123622,37.52932228
965700,1947100,965800,1947200,100,23.9781,27.1398,13.10915194,965750,1947150,127.1123948,37.52301289
965700,1947400,965800,1947500,100,46.087,19.2469,13.10915194,965750,1947450,127.1123808,37.52571691
965700,1946700,965800,1946800,100,26.5471,26.2227,13.10915194,965750,1946750,127.1124135,37.51940752
965700,1946800,965800,1946900,100,73.3291,9.5215,13.10915194,965750,1946850,127.1124088,37.52030886
965700,1946000,965800,1946100,100,66.2395,12.0525,13.10915194,965750,1946050,127.1124461,37.51309811
965700,1946100,965800,1946200,100,66.663,11.9013,13.10915194,965750,1946150,127.1124415,37.51399945
939500,1944100,939600,1944200,100,2.2489,34.8971,7.48708883,939550,1944150,126.8161529,37.49462867
965700,1946200,965800,1946300,100,48.9614,18.2208,13.10915194,965750,1946250,127.1124368,37.5149008
939400,1952400,939500,1952500,100,39.4749,21.6075,9.44056836,939450,1952450,126.8143372,37.56942977
965700,1946500,965800,1946600,100,15.3712,30.2125,13.10915194,965750,1946550,127.1124228,37.51760483
939400,1952800,939500,1952900,100,49.9317,17.8744,9.44056836,939450,1952850,126.8143042,37.57303494
939400,1953100,939500,1953200,100,49.3298,18.0893,9.44056836,939450,1953150,126.8142794,37.57573881
965700,1957700,965800,1957800,100,27.0579,26.0403,6.18726785,965750,1957750,127.1118994,37.61855441
939400,1953200,939500,1953300,100,8.6263,32.6204,9.44056836,939450,1953250,126.8142711,37.5766401
939400,1952000,939500,1952100,100,87.0835,4.6112,9.44056836,939450,1952050,126.8143703,37.56582461
939400,1952100,939500,1952200,100,95.785,1.5048,9.44056836,939450,1952150,126.814362,37.5667259
